drift_mode,algorithm,planning_steps,model_mode,half_life,is_oracle,reward_mean,reward_ci95,stale_mean,stale_ci95,model_error_mean,planning_abs_td_mean,q_norm_mean,n_seeds
abrupt,dyna_1_keep_model,1,keep_model,0.0,False,-0.012394724035574498,0.006267618537251086,0.4433598212325299,0.011273764675215956,0.004628397413237241,0.12405012845714998,14.169660617348574,10
abrupt,dyna_1_oracle_flush,1,oracle_flush,0.0,True,-0.017861042980410562,0.0010403623736648924,0.0,0.0,0.0,0.06581870653698985,9.02351999063838,10
abrupt,dyna_1_recency_aging,1,recency_aging,100.0,False,-0.020820438767634723,0.0012613878538905107,8.599275919570478e-53,6.694593082427268e-53,0.0031542562218563573,0.04942013935949423,4.537486864147985,10
abrupt,dyna_1_recency_aging,1,recency_aging,250.0,False,-0.011390750762360725,0.017051269849528598,2.3591202175456734e-46,3.0389297919545715e-46,0.0036458840294556934,0.06605592126045869,6.048383911620203,10
abrupt,dyna_1_recency_aging,1,recency_aging,750.0,False,-0.01930707263590979,0.0008508000108413552,3.589121995587669e-32,7.034666999715751e-32,0.0038490323522805984,0.06685043212309338,6.687711127903644,10
abrupt,dyna_1_recency_aging,1,recency_aging,1500.0,False,-0.018046490015336054,0.0012675517497836473,2.273846000679696e-05,4.4553814816241265e-05,0.0037803524476806875,0.07295913887612797,7.519249419764369,10
abrupt,dyna_1_recency_error_gate,1,recency_error_gate,100.0,False,-0.02005683654283159,0.0012198147353233322,1.56115551796359e-51,2.8842741588303126e-51,0.003629886870616233,0.0485322111133401,4.565614740350861,10
abrupt,dyna_1_recency_error_gate,1,recency_error_gate,250.0,False,-0.019133843211802067,0.001956331921482161,7.052676505077978e-42,1.3822868312432856e-41,0.0038531519480423,0.055528492704205026,5.430196488794104,10
abrupt,dyna_1_recency_error_gate,1,recency_error_gate,750.0,False,-0.01947083292081634,0.0016804900043066277,2.989804468038128e-34,4.843781913089689e-34,0.003595806516325374,0.06900427429230985,6.659423292633375,10
abrupt,dyna_1_recency_error_gate,1,recency_error_gate,1500.0,False,-0.018688296590770436,0.0013335113475485656,5.141771203928673e-05,6.733950509928094e-05,0.003777296057580871,0.07285245470462048,7.474012478914925,10
abrupt,dyna_5_keep_model,5,keep_model,0.0,False,0.09597644842050986,0.0011219394917541387,0.28869084762721764,0.03531915662716247,0.007621992872404197,0.038127258322880754,28.566843061520814,10
abrupt,dyna_5_oracle_flush,5,oracle_flush,0.0,True,0.09666398293033833,0.0010108818026882411,0.0,0.0,0.0,0.014969311013667974,28.572755239846693,10
abrupt,dyna_5_recency_aging,5,recency_aging,100.0,False,0.06373270918774415,0.022609778593727852,5.824751896682202e-53,5.556272056418562e-53,0.004870816001703394,0.04054716406460206,11.41113573052128,10
abrupt,dyna_5_recency_aging,5,recency_aging,250.0,False,0.055739012578527,0.02505358580860553,4.537039127497009e-47,8.884585302643277e-47,0.005218767602973556,0.037943281420337184,10.932117528747163,10
abrupt,dyna_5_recency_aging,5,recency_aging,750.0,False,0.05538980939968395,0.02732855026095155,1.875717250079184e-38,3.594649174545607e-38,0.005730167862138063,0.05041429383723158,11.442439496732888,10
abrupt,dyna_5_recency_aging,5,recency_aging,1500.0,False,0.07244358815510225,0.0233555096037639,1.914849303011284e-05,1.53499407015157e-05,0.0065100319556761505,0.04957183375659806,17.181799808566765,10
abrupt,dyna_5_recency_error_gate,5,recency_error_gate,100.0,False,0.05754588246150686,0.02664718089564324,9.393365724600287e-53,8.353919066295417e-53,0.005094364284658569,0.0357225887760106,11.041245004313657,10
abrupt,dyna_5_recency_error_gate,5,recency_error_gate,250.0,False,0.03883820057815456,0.031737561998903915,2.2173313689571935e-48,3.668237201439204e-48,0.005061396804383017,0.02771936905798044,9.654592436797412,10
abrupt,dyna_5_recency_error_gate,5,recency_error_gate,750.0,False,0.032209456193444855,0.032465757241900796,1.9883728668590087e-39,3.860440373349722e-39,0.006199448470560462,0.03167532409642272,9.959810246757215,10
abrupt,dyna_5_recency_error_gate,5,recency_error_gate,1500.0,False,0.06536603004809823,0.0260936753299661,4.929101107848014e-06,9.661038171362094e-06,0.00673255601039678,0.053514149406058996,16.259348109413356,10
abrupt,dyna_20_keep_model,20,keep_model,0.0,False,0.08095782289798112,0.020682006379103696,0.19132814733176448,0.09597043603486387,0.008396153640866148,0.013919683670370924,24.194654443364602,10
abrupt,dyna_20_oracle_flush,20,oracle_flush,0.0,True,0.09483739676020803,0.0031045488372816506,0.0,0.0,0.0,0.011852448428683621,26.397248239219657,10
abrupt,dyna_20_recency_aging,20,recency_aging,100.0,False,0.09091161190422478,0.008158337841037599,3.819870138057231e-51,7.46017112630905e-51,0.006335826434907692,0.007047911114769758,17.67266315517083,10
abrupt,dyna_20_recency_aging,20,recency_aging,250.0,False,0.09301621444200335,0.004105371590569688,3.223285390150112e-51,3.7315579268687795e-51,0.00723597661492247,0.004806259022241851,19.31100244378292,10
abrupt,dyna_20_recency_aging,20,recency_aging,750.0,False,0.0902691470549501,0.010132554004691416,1.5081740377774616e-06,2.9556933710840144e-06,0.008827993933364468,0.01352811911970899,23.898736405037738,10
abrupt,dyna_20_recency_aging,20,recency_aging,1500.0,False,0.09415782892777255,0.0017116437634824026,0.0003449382624944312,0.00011931696442079513,0.009049997165370976,0.005370031982553931,27.79620497297182,10
abrupt,dyna_20_recency_error_gate,20,recency_error_gate,100.0,False,0.0911800413707983,0.005506594605887233,7.944316035268437e-54,5.244110670033487e-54,0.006443393571170698,0.009527922850450884,17.69936094235498,10
abrupt,dyna_20_recency_error_gate,20,recency_error_gate,250.0,False,0.0912837337349294,0.005388867168790093,3.744194495852002e-49,7.330092674352737e-49,0.007098420590337199,0.005723097521323667,18.980112867813446,10
abrupt,dyna_20_recency_error_gate,20,recency_error_gate,750.0,False,0.09392130811626476,0.003785536478251249,2.1234032350337485e-09,4.160729341558581e-09,0.008875189627629208,0.01009602471788933,25.14004196125743,10
abrupt,dyna_20_recency_error_gate,20,recency_error_gate,1500.0,False,0.0950137979115376,0.0014097046772739345,0.0005572101682402188,0.00029425482893819237,0.009577561242756851,0.00046425301035400333,28.581655523103166,10
gradual,dyna_1_keep_model,1,keep_model,0.0,False,-0.02028324270606564,0.0013508996482052386,0.5945326595100041,0.012688501256286618,0.00910957122575274,0.17042652783197507,18.82686571486567,10
gradual,dyna_1_oracle_flush,1,oracle_flush,0.0,True,-0.0208692791643668,0.0010438743808157897,0.0,0.0,0.0,0.10710410792453069,12.355964701668562,10
gradual,dyna_1_recency_aging,1,recency_aging,100.0,False,-0.023170953586762837,0.0013184373950588652,8.180530258292745e-13,5.681408635213144e-13,0.008069572251706375,0.08146994148738232,8.497787183891258,10
gradual,dyna_1_recency_aging,1,recency_aging,250.0,False,-0.021662741341957347,0.0009557382049972092,1.8495583567128824e-09,2.8646693777285123e-09,0.007455850500338497,0.09641874091040667,10.138134747491488,10
gradual,dyna_1_recency_aging,1,recency_aging,750.0,False,-0.021591068293629515,0.0013477112442667756,0.00011677438677907955,9.328097725648782e-05,0.008673397902357863,0.10904102044042992,10.825251664413205,10
gradual,dyna_1_recency_aging,1,recency_aging,1500.0,False,-0.020486701489267373,0.001035470819060029,0.0014269702585380556,0.0008814208239058649,0.008358830143207985,0.11503490316154452,11.837710237691974,10
gradual,dyna_1_recency_error_gate,1,recency_error_gate,100.0,False,-0.0234611862274232,0.001425533424611843,8.540127479683699e-13,4.586892509711068e-13,0.007988089621666696,0.08344872506065017,8.63408610463345,10
gradual,dyna_1_recency_error_gate,1,recency_error_gate,250.0,False,-0.020944940510427102,0.0007137623751931989,1.135817223919325e-07,2.0972605397597838e-07,0.007655783711462564,0.09796448777116847,10.377773072795836,10
