algorithm,switch_type,alpha,beta,gamma,n_seeds,early_reward_auc_mean,early_reward_auc_ci95,early_accept_auc_mean,early_accept_auc_ci95,early_q_norm_mean,early_q_norm_ci95,early_reward_bar_abs_error_mean,early_reward_bar_abs_error_ci95,late_reward_mean,late_reward_ci95,late_accept_rate_mean,late_accept_rate_ci95,late_q_norm_mean,late_q_norm_ci95,late_reward_bar_abs_error_mean,late_reward_bar_abs_error_ci95,diverged_mean,diverged_ci95
differential_sarsa,down_shift,0.02,0.001,1.0,10,2.3163097172217015,0.0531796106004059,0.5144004968083713,0.009774098551870378,30.467688982523434,0.6765791621217393,5.158971444593636,0.038771062982857304,2.5634069688447645,0.010976053665426002,0.5202454989554846,0.00474345808331703,29.191899021721632,0.9857539343445766,2.8072228258738017,0.01548735855470549,0.0,0.0
differential_sarsa,down_shift,0.02,0.003,1.0,10,2.396140842542702,0.05054641048686421,0.5404239082395919,0.007413167981877882,21.439804743277524,0.5523415455212973,3.7955351727996147,0.036737569577559435,2.57350000690015,0.01625077333542261,0.5338309670815473,0.00415760332268678,23.899811586874858,0.587235521981672,2.6657836657705207,0.014527056107598732,0.0,0.0
differential_sarsa,down_shift,0.02,0.01,1.0,10,2.4595440871720573,0.02840527949763962,0.5399221964106333,0.007839277092457976,19.42681405301361,0.1983859538912627,2.935543157224681,0.02509941102215478,2.567273534440513,0.017561447199574066,0.5391741599821545,0.003719610456244232,21.73649581995877,0.17214475923006087,2.630875878022963,0.012717429204904948,0.0,0.0
differential_sarsa,down_shift,0.02,0.03,1.0,10,2.4647205064225153,0.04304715917921912,0.5413968513008259,0.006953099530182209,18.484912105606114,0.12534669132577114,2.6224114526853572,0.037095454965474776,2.5556262083864327,0.015363289827490738,0.5430491286726193,0.003954967992079255,20.50075815097719,0.23488321771838133,2.5588899811204864,0.012106960198076982,0.0,0.0
differential_sarsa,down_shift,0.02,0.1,1.0,10,2.464149698075871,0.04010454522290493,0.5449271036454862,0.00749388430275877,16.779551433766386,0.12913588222902203,2.3962908294529006,0.027257032872519116,2.5396327944783925,0.01480983059478088,0.5471636154390029,0.0037706408075533684,18.289558320815356,0.1059688961736461,2.4050855149387855,0.012243450061773445,0.0,0.0
differential_sarsa,down_shift,0.05,0.001,1.0,10,2.285303679910642,0.058035593171047,0.5113128442974725,0.0122375358982073,58.567185331006065,1.0509515081195067,5.2868857160561795,0.032145579890324266,2.5698218916289215,0.016178362183170775,0.5026515320878981,0.004101268105847141,41.634332229127935,1.9916958310294042,2.870968232404155,0.01801517193271408,0.0,0.0
differential_sarsa,down_shift,0.05,0.003,1.0,10,2.4137936778898,0.04016218128729781,0.5205833228927198,0.008383512871855417,31.280456953617495,0.9990189390827342,3.8516956008985574,0.02857474322686175,2.6031963482552123,0.018444685042244315,0.5113228755282675,0.005439988165711317,32.583425221354716,0.8994894798837803,2.752277113989352,0.020619939513917603,0.0,0.0
differential_sarsa,down_shift,0.05,0.01,1.0,10,2.4830144264173835,0.03183957233574425,0.5263519528772942,0.009574869830609635,26.23135274521805,0.37062679666548853,2.9922212470902823,0.02461604069055801,2.599962928997937,0.015250155645226035,0.5248153011449904,0.004381383946998577,28.432053828309677,0.2752395998323543,2.685801693345794,0.007255366978421885,0.0,0.0
differential_sarsa,down_shift,0.05,0.03,1.0,10,2.517261756480955,0.03179808665659277,0.5306618862659864,0.008858732579580269,23.544069023615087,0.2797713618676408,2.702601351054226,0.023502077556966514,2.586082404372727,0.01593489464768705,0.5286072942178203,0.004320703411448128,25.759321988238913,0.2489038632934234,2.626869444378553,0.015021373997194375,0.0,0.0
differential_sarsa,down_shift,0.05,0.1,1.0,10,2.5074687123973978,0.0346144219970346,0.5340370215024008,0.008336205277309772,20.856334656886947,0.19413768173048834,2.4439864892145247,0.0254448909013686,2.578704635274733,0.01782855617264402,0.5354514475282398,0.0030686408740662426,22.48719191157341,0.1298231965274949,2.458928173651197,0.007091767564012686,0.0,0.0
differential_sarsa,down_shift,0.1,0.001,1.0,10,2.1941390020497655,0.04240264266879371,0.4904407163761709,0.00779727788435055,105.43946623422042,2.251023131351947,5.4098473490464345,0.02884522118176363,2.5436937338057555,0.012150938356807016,0.4858086208159703,0.005219739316096203,60.07097281854993,1.7457729552644172,2.910532509386681,0.017440203060791647,0.0,0.0
