algorithm,switch_type,alpha,beta,gamma,seed,early_reward_auc,early_accept_auc,early_q_norm,early_reward_bar_abs_error,late_reward,late_accept_rate,late_q_norm,late_reward_bar_abs_error,diverged,early_points,late_points
differential_sarsa,down_shift,0.02,0.001,1.0,0,2.2509112711500006,0.522611367981049,31.102604155778305,5.1605156866978925,2.5503484034134756,0.5091487430587973,28.499684815124354,2.821968388018049,0.0,306,2703
differential_sarsa,down_shift,0.02,0.001,1.0,1,2.3048481703624684,0.48983111422540604,30.687043096031402,5.230338609936758,2.5594907507790974,0.51682606505349,29.148007293190112,2.815002982538115,0.0,306,2703
differential_sarsa,down_shift,0.02,0.001,1.0,2,2.4102301075395687,0.5219202121017799,31.937772525619877,5.167719368252119,2.5896888231616226,0.5077068390435803,31.28695384948276,2.8574846262985742,0.0,306,2703
differential_sarsa,down_shift,0.02,0.001,1.0,3,2.2455082587645574,0.5018423344197309,30.96829652273171,5.185673177621132,2.5851852280029886,0.5264399066438995,28.74793996879119,2.798587217722246,0.0,306,2703
differential_sarsa,down_shift,0.02,0.001,1.0,4,2.2376515712979326,0.4898579025876702,30.368531183754136,5.162779241819593,2.5539583550497125,0.5273020081039489,30.308856020939015,2.7717859933630864,0.0,306,2703
differential_sarsa,down_shift,0.02,0.001,1.0,5,2.329688184780027,0.5161244279633224,30.19380017954615,5.15562499713933,2.555222658598566,0.518559128525893,28.400634409240105,2.816909450671961,0.0,306,2703
differential_sarsa,down_shift,0.02,0.001,1.0,6,2.473564416425017,0.5391281411871663,30.43946574285554,5.152709526667712,2.559743608867291,0.5204890386333902,27.172132575659667,2.8188812439776525,0.0,306,2703
differential_sarsa,down_shift,0.02,0.001,1.0,7,2.3223490957049227,0.5194624406259913,29.90436418860207,5.2552506961521726,2.5862702897249474,0.5313214087643143,27.517712518371088,2.7933723954692082,0.0,306,2703
differential_sarsa,down_shift,0.02,0.001,1.0,8,2.3833398333638582,0.5198316734762704,27.845196964035495,5.04887274405541,2.5359894182614804,0.5248451746171386,28.69629349450962,2.7748416295781237,0.0,306,2703
differential_sarsa,down_shift,0.02,0.001,1.0,9,2.2050062628286606,0.5233953535153281,31.22981526627967,5.070230397594244,2.558172152588467,0.5198166771103938,32.140775271908396,2.803394331100997,0.0,306,2703
differential_sarsa,down_shift,0.02,0.003,1.0,0,2.3632756596166984,0.5452543927458757,20.950552641207516,3.7432220114452015,2.5284043817240636,0.5344766925278296,23.632153539249995,2.6175305792629326,0.0,306,2703
differential_sarsa,down_shift,0.02,0.003,1.0,1,2.279912130225787,0.5411334467372556,22.72649291175638,3.7653173211002167,2.557143885897773,0.5283298530440222,25.052062917280207,2.6638784411354814,0.0,306,2703
differential_sarsa,down_shift,0.02,0.003,1.0,2,2.490780805977189,0.5501368391722392,23.088867871982906,3.86532626533843,2.561547996363412,0.5284281038621697,25.890261438177284,2.682670876921209,0.0,306,2703
differential_sarsa,down_shift,0.02,0.003,1.0,3,2.322133530043357,0.5169615003634183,21.821396311134507,3.8325284185287645,2.6108725284040566,0.541716852744885,23.517095152275118,2.674382007197321,0.0,306,2703
differential_sarsa,down_shift,0.02,0.003,1.0,4,2.282558152373303,0.5293119106541717,21.625163107734764,3.681404470475901,2.59038688351896,0.5282540214239784,24.199493294290484,2.6911319516620456,0.0,306,2703
differential_sarsa,down_shift,0.02,0.003,1.0,5,2.4526672046932005,0.5269429079065141,21.413023867553946,3.8590537941958405,2.5804913735602306,0.5343442915813009,23.422536839348677,2.66876488584893,0.0,306,2703
differential_sarsa,down_shift,0.02,0.003,1.0,6,2.46846875147393,0.5533081389767884,20.542180222574842,3.7599109811321285,2.5900074774179944,0.5296103204722096,23.390520433797782,2.6882106131258965,0.0,306,2703
differential_sarsa,down_shift,0.02,0.003,1.0,7,2.3942302452662254,0.5498718609906658,20.53408953418354,3.832089986981095,2.605889796194776,0.5461864196602986,22.520702905645127,2.676701372471713,0.0,306,2703
differential_sarsa,down_shift,0.02,0.003,1.0,8,2.4916261101140242,0.544333185807981,20.7337971105173,3.837754129046631,2.552337663532044,0.5271244498392152,23.659567980129385,2.6594246735074534,0.0,306,2703
differential_sarsa,down_shift,0.02,0.003,1.0,9,2.415755835643306,0.5469848990410086,20.96248385412951,3.778744349751932,2.557918082388188,0.5398386656595634,23.713721368554534,2.63514125657223,0.0,306,2703
differential_sarsa,down_shift,0.02,0.01,1.0,0,2.4470600278062578,0.5431326164328395,19.436620259271155,2.9287779654198305,2.5422824138870026,0.5299257760752191,21.762922248161786,2.6359891030365215,0.0,306,2703
differential_sarsa,down_shift,0.02,0.01,1.0,1,2.4534071976100638,0.520286227212436,19.019834825333785,2.9723098044312914,2.5723403559058493,0.5340000726401586,21.622062703575597,2.6553487722516826,0.0,306,2703
differential_sarsa,down_shift,0.02,0.01,1.0,2,2.5167347491226493,0.549943323103993,19.7112428778064,2.993590209158767,2.5501441525345276,0.535625277306211,22.127431517872132,2.6143620090415256,0.0,306,2703
differential_sarsa,down_shift,0.02,0.01,1.0,3,2.374797844644164,0.5233790470759188,19.645239662666185,2.8967924496125192,2.6101621685613985,0.5469995989253489,21.466239972789257,2.641666418364858,0.0,306,2703
differential_sarsa,down_shift,0.02,0.01,1.0,4,2.395266148472514,0.5303923144766338,19.654191549210285,2.8701135147316514,2.5708202742815915,0.539897777177721,21.409659351345862,2.6428211524906775,0.0,306,2703
differential_sarsa,down_shift,0.02,0.01,1.0,5,2.471367462256254,0.53437194623522,19.73824652441973,2.978998820520074,2.5464725002074275,0.5354016058131938,22.166915517643194,2.629649336905968,0.0,306,2703
differential_sarsa,down_shift,0.02,0.01,1.0,6,2.4904429481679076,0.5400910736237238,19.47161388331721,2.946359274454354,2.602430356525276,0.5425565114512566,21.90011164734454,2.65574508468935,0.0,306,2703
differential_sarsa,down_shift,0.02,0.01,1.0,7,2.468379750547395,0.5493672293363846,19.170532016311295,2.950311847006197,2.5932438020176933,0.5457081019236487,21.630637607909122,2.634599278767868,0.0,306,2703
differential_sarsa,down_shift,0.02,0.01,1.0,8,2.513670652697787,0.5488743492905787,19.608794562177764,2.926208835642882,2.5217921377421595,0.5351682769637146,21.869392157347477,2.6004734484228855,0.0,306,2703
differential_sarsa,down_shift,0.02,0.01,1.0,9,2.464314090395582,0.5593838373186064,18.8118243696223,2.8919688512692403,2.5630471827422032,0.5464586015450731,21.409585475598696,2.598104176258289,0.0,306,2703
differential_sarsa,down_shift,0.02,0.03,1.0,0,2.4694898559100036,0.545514763265366,18.233966553114254,2.593164037562058,2.532106549306905,0.5378327663174464,20.273774972954122,2.546206857074647,0.0,306,2703
differential_sarsa,down_shift,0.02,0.03,1.0,1,2.475787501950041,0.5193444999133393,18.57430045274141,2.67621772568608,2.5702447276462475,0.5355524200132753,20.76725643106568,2.5942264000321407,0.0,306,2703
differential_sarsa,down_shift,0.02,0.03,1.0,2,2.581365769323516,0.5547259643324115,18.57692597555451,2.7211505448935807,2.5444840469393903,0.5369185625308565,20.564605009913382,2.574284207999415,0.0,306,2703
differential_sarsa,down_shift,0.02,0.03,1.0,3,2.3802840572660804,0.5259814850313314,18.574130795032445,2.5775248019772032,2.601336006666601,0.5518510354833726,20.140259800622854,2.5611845971476845,0.0,306,2703
differential_sarsa,down_shift,0.02,0.03,1.0,4,2.344307193354776,0.5408501855533946,18.216545171511992,2.5215307945649634,2.5373140750426924,0.5479879046825428,20.05375333282367,2.539623360732988,0.0,306,2703
differential_sarsa,down_shift,0.02,0.03,1.0,5,2.4259465226852273,0.5548866324430278,18.438769330281275,2.576813034487023,2.5521769348458863,0.5382282553298198,20.910007719419433,2.570855697432699,0.0,306,2703
differential_sarsa,down_shift,0.02,0.03,1.0,6,2.5137681152131366,0.5393695948809765,18.72906698916839,2.6670300549909682,2.5510824428516417,0.5425734431484249,21.046657465511966,2.5573357931113536,0.0,306,2703
differential_sarsa,down_shift,0.02,0.03,1.0,7,2.473435063083417,0.5443020983853356,18.506030335033532,2.620304004718076,2.5902771492721617,0.5534269977234225,20.119940552039953,2.57076205065465,0.0,306,2703
