algorithm,scale,alpha,lambda,stable,diverged_seed_tail_mean,rmse_mean,rmse_ci95,prediction_change_mean,prediction_change_ci95
normalized,one,0.01,0.0,True,0.0,0.5602029824080306,0.0022111466611073605,2.6551500515061204e-05,1.2835109112312135e-05
normalized,one,0.03,0.0,True,0.0,0.5315396959634031,0.00652268435564163,0.00013416493594356116,4.2244120405744766e-05
normalized,one,0.1,0.0,True,0.0,0.4422350513234978,0.018124137207798707,0.0008955768949057083,0.00020316104564492552
normalized,one,0.3,0.0,True,0.0,0.4157278056574264,0.020962238129803558,0.0012416851333434792,0.0002636750025890783
normalized,ten,0.001,0.0,True,0.0,0.5731337990128819,0.0002218195332120673,1.8311798671581193e-06,1.437976206370928e-06
normalized,ten,0.003,0.0,True,0.0,0.5702647629858063,0.0006646004068951797,6.022931371113249e-06,4.161899113039718e-06
normalized,ten,0.01,0.0,True,0.0,0.5602029812679981,0.0022111468358093768,2.6551503361669648e-05,1.2835110075929047e-05
normalized,ten,0.03,0.0,True,0.0,0.5315396925973701,0.006522684848773747,0.00013416495267649882,4.2244124612104764e-05
normalized,ten,0.1,0.0,True,0.0,0.44223504248463275,0.018124138202885078,0.0008955770011475983,0.00020316106529479647
normalized,ten,0.3,0.0,True,0.0,0.28994021537559167,0.030061593905994288,0.0037020425951012083,0.0005358959554367833
normalized,hundred,0.001,0.0,True,0.0,0.5731337990117462,0.00022181953338765227,1.831179868676964e-06,1.437976207488091e-06
normalized,hundred,0.003,0.0,True,0.0,0.5702647629823967,0.0006646004074207547,6.022931376522886e-06,4.1618991161709224e-06
normalized,hundred,0.01,0.0,True,0.0,0.5602029812565977,0.002211146837556389,2.6551503390135755e-05,1.2835110085565197e-05
normalized,hundred,0.03,0.0,True,0.0,0.5315396925637097,0.006522684853705093,0.00013416495284382854,4.224412465416846e-05
normalized,hundred,0.1,0.0,True,0.0,0.44223504239624417,0.018124138212835948,0.0008955770022100174,0.00020316106549129486
normalized,hundred,0.3,0.0,True,0.0,0.28994021525700764,0.03006159391097902,0.0037020425981762707,0.0005358959556507383
normalized,uneven,0.001,0.0,True,0.0,0.5724407636071829,0.0003280224027861559,1.8923262898029729e-06,1.4323351072074731e-06
normalized,uneven,0.003,0.0,True,0.0,0.5682267527229342,0.0009699328961754527,6.538786413960483e-06,4.148371013932895e-06
normalized,uneven,0.01,0.0,True,0.0,0.5539533170775979,0.0030487910036443356,3.10233611326367e-05,1.3379390235999819e-05
normalized,uneven,0.03,0.0,True,0.0,0.5171936700618265,0.007870172964806858,0.0001527540602493742,4.509922427351518e-05
normalized,uneven,0.1,0.0,True,0.0,0.4176827981693979,0.01914081382687927,0.0008633957130788335,0.00016739266610785498
normalized,uneven,0.3,0.0,True,0.0,0.2534374013788738,0.03176026433361989,0.003262548685873715,0.00040145117162067307
normalized,lognormal,0.001,0.0,True,0.0,0.5734281189808217,0.0002219240569034526,2.033599111689105e-06,9.721143806762364e-07
normalized,lognormal,0.003,0.0,True,0.0,0.5711197956411291,0.0006645158807314066,6.346342229154109e-06,2.900699736371007e-06
normalized,lognormal,0.01,0.0,True,0.0,0.5627956153210492,0.0022275110032447393,2.451388281769644e-05,9.84230420818076e-06
normalized,lognormal,0.03,0.0,True,0.0,0.5381114898061985,0.006757779848958308,0.00011318167104434996,3.347709008895819e-05
normalized,lognormal,0.1,0.0,True,0.0,0.46053743954907633,0.018047780544803296,0.0008887673385665264,0.0001779675615142036
normalized,lognormal,0.3,0.0,True,0.0,0.3998683774087294,0.02480228093925596,0.002666333164809004,0.0005044534484681327
trace_normalized,one,0.001,0.8,True,0.0,0.5731526394552962,0.00021639453937554855,1.7383525686143602e-06,1.441770484475056e-06
trace_normalized,one,0.003,0.8,True,0.0,0.5704300561724841,0.0006174919940928696,5.17387957987888e-06,4.182610885669256e-06
trace_normalized,one,0.01,0.8,True,0.0,0.5618741043991273,0.0017538592775608965,1.6847647482393225e-05,1.2429394861904134e-05
trace_normalized,one,0.03,0.8,True,0.0,0.5429207834764116,0.003776970479036423,4.882086332698898e-05,2.7514803853379492e-05
trace_normalized,one,0.1,0.8,True,0.0,0.49745337842912524,0.00864287650341059,0.00017595117186240114,4.719001306125746e-05
trace_normalized,one,0.3,0.8,True,0.0,0.430140793075292,0.01898854280045575,0.0006518698495979936,0.0001273298004410585
trace_normalized,ten,0.001,0.8,True,0.0,0.5731526393452366,0.00021639455591059177,1.7383527039294135e-06,1.4417705968459165e-06
trace_normalized,ten,0.003,0.8,True,0.0,0.5704300558621295,0.0006174920379295162,5.173879968844184e-06,4.182611201183485e-06
trace_normalized,ten,0.01,0.8,True,0.0,0.5618741035573855,0.0017538593720254942,1.6847648602054135e-05,1.2429395692550648e-05
trace_normalized,ten,0.03,0.8,True,0.0,0.5429207819348265,0.003776970562819972,4.882086560622455e-05,2.7514805051238405e-05
trace_normalized,ten,0.1,0.8,True,0.0,0.4974533763628174,0.008642876551423744,0.00017595117534293528,4.719001297335015e-05
trace_normalized,ten,0.3,0.8,True,0.0,0.4022363039504732,0.018411341175014893,0.0007501914593968549,0.00013293926934492
trace_normalized,hundred,0.001,0.8,True,0.0,0.573152639344136,0.00021639455607592726,1.738352705282568e-06,1.4417705979696228e-06
trace_normalized,hundred,0.003,0.8,True,0.0,0.570430055859026,0.0006174920383678977,5.173879972733855e-06,4.182611204338633e-06
trace_normalized,hundred,0.01,0.8,True,0.0,0.561874103548968,0.0017538593729701452,1.6847648613250745e-05,1.2429395700857127e-05
trace_normalized,hundred,0.03,0.8,True,0.0,0.5429207819194106,0.003776970563657789,4.882086562901697e-05,2.7514805063216976e-05
trace_normalized,hundred,0.1,0.8,True,0.0,0.49745337634215436,0.008642876551903884,0.0001759511753777404,4.719001297247111e-05
trace_normalized,hundred,0.3,0.8,True,0.0,0.4022363039268561,0.018411341175246697,0.0007501914595175028,0.00013293926935635167
trace_normalized,uneven,0.001,0.8,True,0.0,0.5724742389397828,0.0003179597439534649,1.7498892226509828e-06,1.4398383920213174e-06
trace_normalized,uneven,0.003,0.8,True,0.0,0.5685148885434284,0.0008850923791342975,5.274843726525601e-06,4.1693563041586714e-06
trace_normalized,uneven,0.01,0.8,True,0.0,0.5566466831623831,0.0023166107080799057,1.7867644257323085e-05,1.2417566667452055e-05
trace_normalized,uneven,0.03,0.8,True,0.0,0.5330858682796797,0.004178059577634115,5.5965586240155525e-05,2.939368799219227e-05
trace_normalized,uneven,0.1,0.8,True,0.0,0.4843964271707012,0.007941826963149875,0.00021521524252728826,6.885854645907658e-05
trace_normalized,uneven,0.3,0.8,True,0.0,0.3895881502324571,0.017767665874383467,0.0008341211637025849,0.00015314020589420163
trace_normalized,lognormal,0.001,0.8,True,0.0,0.573445161885648,0.000217862189520913,1.9729552230478534e-06,9.611547212659018e-07
trace_normalized,lognormal,0.003,0.8,True,0.0,0.5712683084676259,0.0006280940489819568,5.793100900037434e-06,2.789464481680787e-06
trace_normalized,lognormal,0.01,0.8,True,0.0,0.5642660967609252,0.001840682701459672,1.806059439608266e-05,8.344435208048322e-06
trace_normalized,lognormal,0.03,0.8,True,0.0,0.5476733866991504,0.004173892002306924,4.824167340336523e-05,1.9742430041319678e-05
trace_normalized,lognormal,0.1,0.8,True,0.0,0.500149222030697,0.01025051351193029,0.00020381041630363129,5.41751349319243e-05
trace_normalized,lognormal,0.3,0.8,True,0.0,0.3885282662572758,0.026638173193681138,0.0013962925126614948,0.0003342186263780395
true_online,one,0.001,0.8,True,0.0,0.5743871645786585,2.817774639509983e-05,2.2335125582914424e-07,1.8262293726622763e-07
true_online,one,0.003,0.8,True,0.0,0.5740173338093323,8.704602115776526e-05,7.016662637547028e-07,5.440615457266281e-07
true_online,one,0.01,0.8,True,0.0,0.5726365118205595,0.00031849152428352806,2.7311821299913175e-06,1.777668775703123e-06
true_online,one,0.03,0.8,True,0.0,0.5680126524557754,0.0011740435785006522,1.2027422379018248e-05,5.312244125687498e-06
true_online,one,0.1,0.8,True,0.0,0.5459605994067153,0.005685274840343446,9.279109391278811e-05,2.6278022286704212e-05
true_online,one,0.3,0.8,True,0.0,0.4635263809803938,0.02144405831089028,0.000680615596265705,0.0001510794521456072
true_online,ten,0.001,0.8,True,0.0,0.5459605994067153,0.00568527484034345,9.27910939127879e-05,2.6278022286704063e-05
true_online,ten,0.003,0.8,True,0.0,0.4635263809803938,0.021444058310890263,0.0006806155962657053,0.00015107945214560696
true_online,ten,0.01,0.8,True,0.0,0.24295348831581182,0.04405064515396649,0.0033359105775947833,0.0004187501787367573
true_online,ten,0.03,0.8,True,0.0,0.13363617005223316,0.020782901068896128,0.005647158001233548,0.00034738111064986125
true_online,ten,0.1,0.8,True,0.0,0.1707688901607932,0.017601135354615455,0.006860196665935259,0.0005507373327309926
true_online,ten,0.3,0.8,False,0.08266956530114425,82670.15180280517,38016.41344693933,6.122775729164683e+30,1.200064042373963e+31
true_online,hundred,0.001,0.8,True,0.0,0.1707688901607932,0.017601135354615452,0.006860196665935255,0.0005507373327309896
true_online,hundred,0.003,0.8,False,0.08266956530114425,82670.15180280517,38016.41344693933,6.122775729165e+30,1.2000640423740247e+31
true_online,hundred,0.01,0.8,False,0.12511655011655012,125117.41352075755,19881.452822844098,1.172745821539422e+297,inf
true_online,hundred,0.03,0.8,False,0.15492424242424244,154926.13146050362,16130.312290990514,2.8081681417204694e+272,inf
true_online,hundred,0.1,0.8,False,0.16666666666666669,166670.6242255696,4.545569760695876,406085869251.1398,795928303732.2339
true_online,hundred,0.3,0.8,False,0.16666666666666669,166674.63396450988,10.85024707939265,0.0,0.0
true_online,uneven,0.001,0.8,True,0.0,0.4606362813356991,0.017006733269352002,0.0005928087836867821,0.0001238202521861988
true_online,uneven,0.003,0.8,True,0.0,0.30429148009883267,0.03241479027826449,0.0022458966097917074,0.0002977880455394377
true_online,uneven,0.01,0.8,True,0.0,0.13579835221225753,0.02738548466088603,0.004973583893141441,0.0003570908808786172
true_online,uneven,0.03,0.8,True,0.0,0.1528722930036756,0.016238909017458975,0.005735143958353273,0.0006850569426477199
true_online,uneven,0.1,0.8,False,0.08252711515869408,82527.9025692828,38088.03041843887,1.6904052710887844e+37,3.3131943313340174e+37
true_online,uneven,0.3,0.8,False,0.09025224288382182,90253.69281300393,34152.30691642666,1.234905694616744e+183,inf
true_online,lognormal,0.001,0.8,True,0.0,0.5735882158960972,0.000586814187238257,1.8582171235410497e-06,1.7424919569034969e-06
true_online,lognormal,0.003,0.8,True,0.0,0.5715945746943237,0.0017483707475346847,5.846952722942999e-06,5.131726897323826e-06
true_online,lognormal,0.01,0.8,True,0.0,0.5646151933234042,0.005439291067035448,2.4957496362886616e-05,1.8306916399155077e-05
true_online,lognormal,0.03,0.8,True,0.0,0.5460791970181147,0.012515034883137986,0.00013972699619589028,7.941651562579931e-05
true_online,lognormal,0.1,0.8,True,0.0,0.49214119814760104,0.023095502481735697,0.0010161716107461955,0.00037162402476304907
true_online,lognormal,0.3,0.8,False,0.0013888888888888887,1389.2947951422943,2722.2547552834103,5.841358736447111e+42,1.1449063123436335e+43
true_online_normalized,one,0.001,0.8,True,0.0,0.5730444641256472,0.0002484395416780248,2.092476347232662e-06,1.4291377807175354e-06
true_online_normalized,one,0.003,0.8,True,0.0,0.5694986143239674,0.0008897058538676598,8.65350120806104e-06,4.215600919564754e-06
true_online_normalized,one,0.01,0.8,True,0.0,0.5529912156188941,0.004226677051424104,6.17972005251808e-05,1.849400501159268e-05
true_online_normalized,one,0.03,0.8,True,0.0,0.4890995979940708,0.016905454220175822,0.00046220047884808153,0.00010874012519204826
true_online_normalized,one,0.1,0.8,True,0.0,0.2892366739268345,0.04204632308591886,0.0026931082836566082,0.00039049376213792634
true_online_normalized,one,0.3,0.8,True,0.0,0.24295348831581184,0.044050645153966506,0.003335910577594784,0.00041875017873675816
true_online_normalized,ten,0.001,0.8,True,0.0,0.5730444639980845,0.00024843956338289246,2.0924765419114547e-06,1.4291378915260402e-06
true_online_normalized,ten,0.003,0.8,True,0.0,0.569498613866038,0.0008897059404101225,8.653502194487169e-06,4.215601258846915e-06
